id	ko_specific_singular	ko_specific_plural	ko_generic_singular	ko_generic_plural
0	댄디푸트	댄디푸트	푸트	푸트
1	앨리푸트	앨리푸트	푸트	푸트
2	검비푸트	검비푸트	푸트	푸트
3	맨트랩푸트	맨트랩푸트	푸트	푸트
4	빛나방	빛나방	기괴한 나방	기괴한 나방
5	영체 나방	영체 나방	기괴한 나방	기괴한 나방
6	빛 모스라	빛 모스라	기괴한 나방	기괴한 나방
7	루나 모스라	루나 모스라	기괴한 나방	기괴한 나방
8	사슴바구미	사슴바구미	벌레	벌레
9	독바구미	독바구미	벌레	벌레
10	멧돼지바구미	멧돼지바구미	벌레	벌레
11	곰바구미	곰바구미	벌레	벌레
12	밤까마귀	밤까마귀	검은 새	검은 새
13	흡혈까마귀	흡혈까마귀	검은 새	검은 새
14	영체 까마귀	영체 까마귀	검은 새	검은 새
15	흡혈 독수리	흡혈 독수리	검은 새	검은 새
16	카크르 슬러지	카크르 슬러지	기는 오물	기는 오물
17	기는 폐기물	기는 폐기물	기는 오물	기는 오물
18	버섯 우즈	버섯 우즈	기는 오물	기는 오물
19	푹식 우즈	푹식 우즈	기는 오물	기는 오물
20	그림자 딱지	그림자 딱지	기는 오물	기는 오물
21	이구아나돈	이구아나돈	거대 도마뱀	거대 도마뱀
22	코모도 드래곤	코모도 드래곤	거대 도마뱀	거대 도마뱀
23	카르노사우루스	카르노사우루스	초거대 도마뱀	초거대 도마뱀
24	렉스	렉스	초거대 도마뱀	초거대 도마뱀
25	큰까마귀	큰까마귀	검은새	검은새
26	밤비푸트	밤비푸트	푸트	푸트
27	동굴 슬라임	동굴 슬라임	기는 오물	기는 오물
28	바위 도마뱀	바위 도마뱀	거대 도마뱀	거대 도마뱀
29	용까마귀	용까마귀	검은 새	검은 새
30	숲사람	숲사람	숲사람	숲사람
31	할로위치	할로위치	숲사람	숲사람
32	토바간	토바간	숲사람	숲사람
33	젤리 쐐기	젤리 쐐기	부유체	부유체
34	겔리마가	겔리마가	부유체	부유체
35	바다꽃	바다꽃	부유체	부유체
36	반타리	반타리	쌍두 사자	쌍두 사자
37	쿠아타리	쿠아타리	쌍두 사자	쌍두 사자
38	숲 거인	숲 거인	거인	거인
39	바위 거인	바위 거인	거인	거인
40	물 님프	물 님프	님프	님프
41	나무 드라이어드	나무 드라이어드	님프	님프
42	고질리	고질리	고질리	고질리
43	믹슬밍크스	믹슬밍크스	믹슬밍크스	믹슬밍크스
44	얼룩 오물	얼룩 오물	기는 오물	기는 오물
45	쓴벌레	쓴벌레	벌레	벌레
46	해골	해골	해골	해골
47	콜리드라	콜리드라	하급 악마	하급 악마
48	이레구오스	이레구오스	하급 악마	하급 악마
49	네크로마니스	네크로마니스	상급 악마	상급 악마
50	심해의 악마	심해의 악마	심해의 악마	심해의 악마
51	붉은 피라냐	붉은 피라냐	붉은 물고기	붉은 물고기
52	피라냐 상어	피라냐 상어	붉은 물고기	붉은 물고기
53	전투 드로이드	전투 드로이드	살인 기계	살인 기계
54	메가봇	메가봇	살인 기계	살인 기계
55	콘퀼라도	콘퀼라도	초거대 벌레	초거대 벌레
56	새끼 드래곤	새끼 드래곤	녹색 드래곤	녹색 드래곤
57	라임 드래곤	라임 드래곤	녹색 드래곤	녹색 드래곤
58	동굴 스락스	동굴 스락스	거대 곤충	거대 곤충
59	갑각 스락스	갑각 스락스	거대 곤충	거대 곤충
60	젊은 트랭	젊은 트랭	트랭	트랭
61	야생 트랭	야생 트랭	트랭	트랭
62	트랭 감시자	트랭 감시자	트랭 감시자	트랭 감시자
63	트랭 현자	트랭 현자	트랭 현자	트랭 현자
64	트랭 장로	트랭 장로	트랭	트랭
65	트랭 암살자	트랭 암살자	트랭	트랭
66	움파니 건달	움파니 건달	움파니	움파니
67	움파니 배신자	움파니 배신자	움파니	움파니
68	움파니 정찰병	움파니 정찰병	움파니	움파니
69	움파니 추적자	움파니 추적자	움파니	움파니
70	움파니 특공대	움파니 특공대	움파니	움파니
71	I.U.F.척탄병	I.U.F.척탄병	I.U.F.척탄병	I.U.F.척탄병
72	미친 몽크	미친 몽크	몽크	몽크
73	암흑숲 몽크	암흑숲 몽크	몽크	몽크
74	몽크 닌자	몽크 닌자	몽크	몽크
75	미친 수호자	미친 수호자	몽크	몽크
76	사이몽크	사이몽크	몽크	몽크
77	데인 입문자	데인 입문자	데인	데인
78	데인 캐논	데인 캐논	데인	데인
79	데인 사제	데인 사제	데인	데인
80	데인 사도	데인 사도	데인	데인
81	대부	대부	데인	데인
82	고른 창병	고른 창병	고른	고른
83	고른 레인저	고른 레인저	고른	고른
84	고른 주술사	고른 주술사	고른	고른
85	고른 대장	고른 대장	고른	고른
86	고른 아시가루	고른 아시가루	고른 아시가루	고른 아시가루
87	고른 로드	고른 로드	고른 로드	고른 로드
88	래트킨 악당	래트킨 악당	래트킨	래트킨
89	래트킨 산적	래트킨 산적	래트킨	래트킨
90	래트킨 도적	래트킨 도적	래트킨	래트킨
91	래트킨 사냥꾼	래트킨 사냥꾼	래트킨	래트킨
92	래트킨 대장	래트킨 대장	래트킨	래트킨
93	래트킨 라주카	래트킨 라주카	래트킨	래트킨
94	서번트 경비	서번트 경비	서번트 경비	서번트 경비
95	서번트 병사	서번트 병사	서번트 병사	서번트 병사
96	서번트 제어관	서번트 제어관	서번트 제어관	서번트 제어관
97	서번트 쿠이사카	서번트 쿠이사카	서번트 쿠이사카	서번트 쿠이사카
98	제노조이드 주자	제노조이드 주자	?조이드?	?조이드?
99	제노조이드 비행	제노조이드 비행	?조이드?	?조이드?
100	제노 로켓병	제노 로켓병	?조이드?	?조이드?
101	헬라조이드 정예	헬라조이드 정예	?조이드?	?조이드?
102	고른 창기병	고른 창기병	고른	고른
103	고른 사무라이	고른 사무라이	고른	고른
104	트랭 기술자	트랭 기술자	트랭 기술자	트랭 기술자
105	래트킨 로닌	래트킨 로닌	래트킨	래트킨
106	좀비 스켈	좀비 스켈	보행 언데드	보행 언데드
107	불까마귀	불까마귀	검은 새	검은 새
108	그리말	그리말	그리말	그리말
109	블라인드마이스	블라인드마이스	블라인드마이스	블라인드마이스
110	서번트 병사	서번트 병사	서번트 병사	서번트 병사
111	덩고어	덩고어	덩고어	덩고어
112	팔루크	팔루크	팔루크	팔루크
113	로사리안	로사리안	로사리안	로사리안
114	보어리가드 대위	보어리가드 대위	보어리가드 대위	보어리가드 대위
115	서번트 병사	서번트 병사	서번트 병사	서번트 병사
116	서번트 경비	서번트 경비	서번트 경비	서번트 경비
117	벨칸조르	벨칸조르	벨칸조르	벨칸조르
118	룰레이 신부	룰레이 신부	룰레이 신부	룰레이 신부
119	분더랜드 교수	분더랜드 교수	분더랜드 교수	분더랜드 교수
120	소그하임	소그하임	소그하임	소그하임
121	울가 왕	울가 왕	울가 왕	울가 왕
122	모저 형제	모저 형제	모저 형제	모저 형제
123	티쇼버 형제	티쇼버 형제	티쇼버 형제	티쇼버 형제
124	젠 젱	젠 젱	젠 젱	젠 젱
125	미친 수호자	미친 수호자	몽크	몽크
126	갈리에르 경	갈리에르 경	갈리에르 경	갈리에르 경
127	숲사람	숲사람	숲사람	숲사람
128	버티	버티	버티	버티
129	블라인드마이스	블라인드마이스	블라인드마이스	블라인드마이스
130	하젠라	하젠라	하젠라	하젠라
131	슈리티스 트랭	슈리티스 트랭	슈리티스 트랭	슈리티스 트랭
132	크보라 트랭	크보라 트랭	크보라 트랭	크보라 트랭
133	드랭 트랭	드랭 트랭	드랭 트랭	드랭 트랭
134	야모 장군	야모 장군	야모 장군	야모 장군
135	로단 르왁스	로단 르왁스	로단 르왁스	로단 르왁스
136	추적자 랄릭	추적자 랄릭	추적자 랄릭	추적자 랄릭
137	그런트래퍼 중위	그런트래퍼 중위	그런트래퍼 중위	그런트래퍼 중위
138	울가 왕	울가 왕	울가 왕	울가 왕
139	갈리에르 경	갈리에르 경	갈리에르 경	갈리에르 경
140	보어리가드 대위	보어리가드 대위	보어리가드 대위	보어리가드 대위
141	발론	발론	발론	발론
142	래츠푸틴	래츠푸틴	래츠푸틴	래츠푸틴
143	믹 더 픽	믹 더 픽	믹 더 픽	믹 더 픽
144	데임 케리	데임 케리	데임 케리	데임 케리
145	자네트	자네트	자네트	자네트
146	마그나 데인	마그나 데인	마그나 데인	마그나 데인
147	키마스 투란	키마스 투란	키마스 투란	키마스 투란
148	젠 젱	젠 젱	젠 젱	젠 젱
